player_name,,player_id,league_id,total_matches_played,total_innings_played,overs,maidens,runs,wickets,average,economy,strike_rate,,,
Hasan Ali,(,21,1,10,10,38,0,314,14,22.42,8.26,16.2,),"21, 1, 10, 10, 38, 0, 314, 14, 22.42, 8.26, 16.2","(21, 1, 10, 10, 38, 0, 314, 14, 22.42, 8.26, 16.2),  -- Hasan Ali"
Daniel Sams,(,18,1,4,4,16,0,154,4,38.5,9.62,24,),"18, 1, 4, 4, 16, 0, 154, 4, 38.5, 9.62, 24","(18, 1, 4, 4, 16, 0, 154, 4, 38.5, 9.62, 24),  -- Daniel Sams"
Tabraiz Shamsi,(,22,1,4,4,15,0,157,3,52.33,10.46,30,),"22, 1, 4, 4, 15, 0, 157, 3, 52.33, 10.46, 30","(22, 1, 4, 4, 15, 0, 157, 3, 52.33, 10.46, 30),  -- Tabraiz Shamsi"
Shoaib Malik,(,19,1,10,9,23,0,147,2,73.5,6.39,69,),"19, 1, 10, 9, 23, 0, 147, 2, 73.5, 6.39, 69","(19, 1, 10, 9, 23, 0, 147, 2, 73.5, 6.39, 69),  -- Shoaib Malik"
Anwar Ali,(,20,1,3,3,7,0,78,1,78,11.14,42,),"20, 1, 3, 3, 7, 0, 78, 1, 78, 11.14, 42","(20, 1, 3, 3, 7, 0, 78, 1, 78, 11.14, 42),  -- Anwar Ali"
Mohammad Nawaz,(,16,1,8,7,20,0,176,2,88,8.8,60,),"16, 1, 8, 7, 20, 0, 176, 2, 88, 8.8, 60","(16, 1, 8, 7, 20, 0, 176, 2, 88, 8.8, 60),  -- Mohammad Nawaz"
Kieron Pollard,(,17,1,9,1,1,0,11,0,0,11,NULL,),"17, 1, 9, 1, 1, 0, 11, 0, 0, 11, NULL","(17, 1, 9, 1, 1, 0, 11, 0, 0, 11, NULL),  -- Kieron Pollard"
Irfan Khan,(,12,1,9,0,0,0,0,0,0,NULL,NULL,),"12, 1, 9, 0, 0, 0, 0, 0, 0, NULL, NULL","(12, 1, 9, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Irfan Khan"
Tim Seifert,(,13,1,7,0,0,0,0,0,0,NULL,NULL,),"13, 1, 7, 0, 0, 0, 0, 0, 0, NULL, NULL","(13, 1, 7, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Tim Seifert"
Shan Masood,(,14,1,10,0,0,0,0,0,0,NULL,NULL,),"14, 1, 10, 0, 0, 0, 0, 0, 0, NULL, NULL","(14, 1, 10, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Shan Masood"
James Vince,(,15,1,9,0,0,0,0,0,0,NULL,NULL,),"15, 1, 9, 0, 0, 0, 0, 0, 0, NULL, NULL","(15, 1, 9, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- James Vince"
Shaheen Shah Afridi,(,10,1,9,9,36,1,310,14,22.14,8.61,15.4,),"10, 1, 9, 9, 36, 1, 310, 14, 22.14, 8.61, 15.4","(10, 1, 9, 9, 36, 1, 310, 14, 22.14, 8.61, 15.4),  -- Shaheen Shah Afridi"
Zaman Khan,(,11,1,9,9,32,0,316,11,28.72,9.87,17.4,),"11, 1, 9, 9, 32, 0, 316, 11, 28.72, 9.87, 17.4","(11, 1, 9, 9, 32, 0, 316, 11, 28.72, 9.87, 17.4),  -- Zaman Khan"
Sikandar Raza,(,7,1,8,7,18,0,151,3,50.33,8.38,36,),"7, 1, 8, 7, 18, 0, 151, 3, 50.33, 8.38, 36","(7, 1, 8, 7, 18, 0, 151, 3, 50.33, 8.38, 36),  -- Sikandar Raza"
Haris Rauf,(,9,1,4,4,14,0,132,2,66,9.42,42,),"9, 1, 4, 4, 14, 0, 132, 2, 66, 9.42, 42","(9, 1, 4, 4, 14, 0, 132, 2, 66, 9.42, 42),  -- Haris Rauf"
David Wiese,(,8,1,4,4,10,0,79,1,79,7.9,60,),"8, 1, 4, 4, 10, 0, 79, 1, 79, 7.9, 60","(8, 1, 4, 4, 10, 0, 79, 1, 79, 7.9, 60),  -- David Wiese"
George Linde,(,5,1,4,4,12,0,106,1,106,8.83,72,),"5, 1, 4, 4, 12, 0, 106, 1, 106, 8.83, 72","(5, 1, 4, 4, 12, 0, 106, 1, 106, 8.83, 72),  -- George Linde"
Abdullah Shafique,(,1,1,5,0,0,0,0,0,0,NULL,NULL,),"1, 1, 5, 0, 0, 0, 0, 0, 0, NULL, NULL","(1, 1, 5, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Abdullah Shafique"
Fakhar Zaman,(,2,1,8,0,0,0,0,0,0,NULL,NULL,),"2, 1, 8, 0, 0, 0, 0, 0, 0, NULL, NULL","(2, 1, 8, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Fakhar Zaman"
Shai Hope,(,3,1,5,0,0,0,0,0,0,NULL,NULL,),"3, 1, 5, 0, 0, 0, 0, 0, 0, NULL, NULL","(3, 1, 5, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Shai Hope"
Rassie van der Dussen,(,4,1,7,0,0,0,0,0,0,NULL,NULL,),"4, 1, 7, 0, 0, 0, 0, 0, 0, NULL, NULL","(4, 1, 7, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Rassie van der Dussen"
Imad Wasim,(,29,1,12,12,38,0,251,12,20.91,6.6,19,),"29, 1, 12, 12, 38, 0, 251, 12, 20.91, 6.6, 19","(29, 1, 12, 12, 38, 0, 251, 12, 20.91, 6.6, 19),  -- Imad Wasim"
Naseem Shah,(,33,1,11,11,44,2,333,15,22.2,7.56,17.6,),"33, 1, 11, 11, 44, 2, 333, 15, 22.2, 7.56, 17.6","(33, 1, 11, 11, 44, 2, 333, 15, 22.2, 7.56, 17.6),  -- Naseem Shah"
Shadab Khan,(,30,1,12,12,44,0,376,14,26.85,8.54,18.8,),"30, 1, 12, 12, 44, 0, 376, 14, 26.85, 8.54, 18.8","(30, 1, 12, 12, 44, 0, 376, 14, 26.85, 8.54, 18.8),  -- Shadab Khan"
Hunain Shah,(,31,1,10,9,23.4,1,225,8,28.12,9.5,17.7,),"31, 1, 10, 9, 23.4, 1, 225, 8, 28.12, 9.5, 17.7","(31, 1, 10, 9, 23.4, 1, 225, 8, 28.12, 9.5, 17.7),  -- Hunain Shah"
Tymal Mills,(,32,1,6,6,21.5,0,216,6,36,9.89,21.8,),"32, 1, 6, 6, 21.5, 0, 216, 6, 36, 9.89, 21.8","(32, 1, 6, 6, 21.5, 0, 216, 6, 36, 9.89, 21.8),  -- Tymal Mills"
Faheem Ashraf,(,28,1,12,10,28,0,276,6,46,9.85,28,),"28, 1, 12, 10, 28, 0, 276, 6, 46, 9.85, 28","(28, 1, 12, 10, 28, 0, 276, 6, 46, 9.85, 28),  -- Faheem Ashraf"
Agha Salman,(,26,1,12,5,12,0,97,2,48.5,8.08,36,),"26, 1, 12, 5, 12, 0, 97, 2, 48.5, 8.08, 36","(26, 1, 12, 5, 12, 0, 97, 2, 48.5, 8.08, 36),  -- Agha Salman"
Azam Khan,(,23,1,12,0,0,0,0,0,0,NULL,NULL,),"23, 1, 12, 0, 0, 0, 0, 0, 0, NULL, NULL","(23, 1, 12, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Azam Khan"
Alex Hales,(,24,1,10,0,0,0,0,0,0,NULL,NULL,),"24, 1, 10, 0, 0, 0, 0, 0, 0, NULL, NULL","(24, 1, 10, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Alex Hales"
Colin Munro,(,25,1,10,0,0,0,0,0,0,NULL,NULL,),"25, 1, 10, 0, 0, 0, 0, 0, 0, NULL, NULL","(25, 1, 10, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Colin Munro"
Usama Mir,(,44,1,12,12,46.5,0,381,24,15.87,8.13,11.7,),"44, 1, 12, 12, 46.5, 0, 381, 24, 15.87, 8.13, 11.7","(44, 1, 12, 12, 46.5, 0, 381, 24, 15.87, 8.13, 11.7),  -- Usama Mir"
Abbas Afridi,(,40,1,9,9,29,0,248,13,19.07,8.55,13.3,),"40, 1, 9, 9, 29, 0, 248, 13, 19.07, 8.55, 13.3","(40, 1, 9, 9, 29, 0, 248, 13, 19.07, 8.55, 13.3),  -- Abbas Afridi"
David Willey,(,39,1,11,11,41,0,306,15,20.4,7.46,16.4,),"39, 1, 11, 11, 41, 0, 306, 15, 20.4, 7.46, 16.4","(39, 1, 11, 11, 41, 0, 306, 15, 20.4, 7.46, 16.4),  -- David Willey"
Khushdil Shah,(,36,1,10,6,14.2,1,102,4,25.5,7.11,21.5,),"36, 1, 10, 6, 14.2, 1, 102, 4, 25.5, 7.11, 21.5","(36, 1, 10, 6, 14.2, 1, 102, 4, 25.5, 7.11, 21.5),  -- Khushdil Shah"
Chris Jordan,(,41,1,6,6,21,0,177,6,29.5,8.42,21,),"41, 1, 6, 6, 21, 0, 177, 6, 29.5, 8.42, 21","(41, 1, 6, 6, 21, 0, 177, 6, 29.5, 8.42, 21),  -- Chris Jordan"
